set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
set M := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 ;
param d :=
1 1 1699
1 2 1293
1 3 1761
1 4 1129
1 5 1633
1 6 1025
1 7 1465
1 8 1810
1 9 1731
1 10 1756
1 11 1856
1 12 1920
1 13 1479
1 14 1504
1 15 1955
1 16 1653
1 17 1025
1 18 1146
1 19 1658
1 20 1242
1 21 1397
1 22 1902
1 23 1901
1 24 1591
1 25 1253
1 26 1199
1 27 1699
1 28 1285
1 29 1460
1 30 1064
1 31 1578
1 32 1407
1 33 1274
1 34 1714
1 35 1446
1 36 1060
1 37 1403
1 38 1484
1 39 1426
1 40 1996
1 41 1735
1 42 1761
1 43 1677
1 44 1266
1 45 1024
1 46 1077
1 47 1750
1 48 1293
1 49 1287
1 50 1013
1 51 1489
1 52 1276
1 53 1227
1 54 1075
1 55 1033
1 56 1324
1 57 1436
1 58 1201
1 59 1924
1 60 1247
1 61 1679
1 62 1043
1 63 1877
1 64 1379
1 65 1019
1 66 1699
1 67 1222
1 68 1366
1 69 1095
1 70 1028
1 71 1570
1 72 1315
1 73 1296
1 74 1230
1 75 1706
1 76 1205
1 77 1149
1 78 1824
1 79 1278
1 80 1981
1 81 1675
1 82 1697
1 83 1277
1 84 1216
1 85 1009
1 86 1370
1 87 1862
1 88 1771
1 89 1060
1 90 1142
1 91 1551
1 92 1339
1 93 1496
1 94 1268
1 95 1317
1 96 1295
1 97 1825
1 98 1825
1 99 1608
1 100 1744
1 101 1871
1 102 1427
1 103 1840
1 104 1185
1 105 1407
1 106 1435
1 107 1373
1 108 1692
1 109 1243
1 110 1834
1 111 1521
1 112 1018
1 113 1534
1 114 1417
1 115 1617
1 116 1526
1 117 1607
1 118 1447
1 119 1661
1 120 1365
1 121 1070
1 122 1436
1 123 1592
1 124 1780
1 125 1502
1 126 1217
1 127 1710
1 128 1973
1 129 1488
1 130 1951
1 131 1278
1 132 1422
1 133 1296
1 134 1230
1 135 1837
1 136 1058
1 137 1966
1 138 1929
1 139 1266
1 140 1213
1 141 1097
1 142 1976
1 143 1118
1 144 1736
1 145 1114
1 146 1672
1 147 1261
1 148 1199
1 149 1290
1 150 1746
1 151 1357
1 152 1574
1 153 1317
1 154 1777
1 155 1211
1 156 1321
1 157 1693
1 158 1152
1 159 1522
1 160 1261
1 161 1711
1 162 1217
1 163 1061
1 164 1158
1 165 1344
1 166 1768
1 167 1816
1 168 1414
1 169 1778
1 170 1548
1 171 1130
1 172 1783
1 173 1913
1 174 1902
1 175 1364
1 176 1502
1 177 1571
1 178 1242
1 179 1118
1 180 1759
1 181 1735
1 182 1490
1 183 1535
1 184 1894
1 185 1560
1 186 1141
1 187 1733
1 188 1246
1 189 1471
1 190 1115
1 191 1877
1 192 1040
1 193 1105
1 194 1044
1 195 1945
1 196 1243
1 197 1393
1 198 1155
1 199 1690
1 200 1768
1 201 1555
1 202 1409
1 203 1865
1 204 1952
1 205 1294
1 206 1045
1 207 1211
1 208 1710
1 209 1969
1 210 1188
1 211 1252
1 212 1262
1 213 1023
1 214 1680
1 215 1435
1 216 1855
1 217 1463
1 218 1785
1 219 1634
1 220 1367
1 221 1646
1 222 1930
1 223 1555
1 224 1221
1 225 1186
1 226 1134
1 227 1072
1 228 1499
1 229 1230
1 230 1283
1 231 1028
1 232 1663
1 233 1914
1 234 1909
1 235 1529
1 236 1799
1 237 1254
1 238 1620
1 239 1266
1 240 1787
1 241 1275
1 242 1855
1 243 1884
1 244 1296
1 245 1644
1 246 1103
1 247 1954
1 248 1015
1 249 1596
1 250 1248
2 1 1029
2 2 1433
2 3 1201
2 4 1991
2 5 1747
2 6 1375
2 7 1471
2 8 1741
2 9 1279
2 10 1046
2 11 1829
2 12 1054
2 13 1674
2 14 1378
